Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
37,38,204.48,-88.767,602.3,0,0,0,-2.33E-05,546.745,0,2.63E-12,6.1902,1.57E-06,4.04E-08,0,1.09E-07,0
38,39,212.26,-87.734,602.3,0,0,0,-2.22E-05,546.697,0,2.63E-12,52.7041,1.16E-05,7.10E-08,0,1.09E-07,0
39,40,224.5,-86.107,602.3,0,0,0,-2.30E-05,546.705,0,2.63E-12,44.2277,4.18E-06,1.02E-07,0,1.09E-07,0
40,41,189.1,-88.721,602.3,0,0,0,-2.10E-05,546.687,0,2.63E-12,2.89571,1.14E-05,9.92E-09,0,1.09E-07,0
41,42,197.09,-87.319,602.3,0,0,0,-2.23E-05,546.659,0,2.63E-12,50.8578,1.12E-05,8.72E-08,0,1.09E-07,0
42,43,204.25,-86.062,602.3,0,0,0,-2.72E-05,546.605,0,2.63E-12,64.9837,4.69E-06,9.94E-08,0,1.09E-07,0
43,44,212.19,-84.668,602.3,0,0,0,-2.85E-05,546.611,0,2.63E-12,7.32263,1.47E-06,3.87E-08,0,1.09E-07,0
44,45,223.53,-82.677,602.3,0,0,0,-2.73E-05,546.631,0,2.63E-12,0.208554,5.18E-07,1.14E-08,0,1.09E-07,0
45,46,189.08,-86.486,602.3,0,0,0,-2.71E-05,546.638,0,2.63E-12,13.8746,1.19E-06,4.54E-08,0,1.09E-07,0
46,47,196.62,-82.733,602.3,0,0,0,-2.70E-05,546.64,0,2.63E-12,8.54335,6.71E-07,3.20E-08,0,1.09E-07,0
